model,alias,price
A22(4G),A22 4G/M22/F22/A225/M225/E225 INCELL FULL GLASS WITH RING ,590
M01 CORE,A01CORE/M01CORE/A013/M013,455
A21S,A21S/A217,500
A31 INCELL,A31/A315 INCELL FULL GLASS WITH RING ,585
A10 with frame,A10/M10/A105/M105,585
J8 ONCELL,J8,490
M30 with frame,M31/M21/M30S/M21S/F415 TFT INCELL FULL SIZE 6.4,585
Y83,Y81/Y81i/Y83S,445
Y21 NEW,Y21 2020/Y16/Y21S/Y02S/Y15/Y21E/Y21G/Y21S/Y77E/Y21T,450
Y100,Y100/Y100A/T2 5G INCELL FULL GLASS WITH RING ,745
Y50,Y50,520
V20 SE,V20SE/T1-44W/V21E 5G/T1 4G/ INCELL FULL GLASS WITH RING ,525
V20 PRO,V20PRO/S7S7T/ INCELL FULL GLASS WITH RING ,795
Y22 NEW,Y17S/Y28 5G/Y22/Y22S/Y22NEW/Y22 2022,490
Y12,Y3/Y11/Y12/Y15/Y17/U3X/U10 ,435
S1/S1PRO,S1/S1PRO/Y7S INCELL FULL SIZE ,575
Y35,Y35/Y35NEW ,580
Y91 UNI,Y91/Y93/Y95/Y91i/Y91c/Y93s/Y90/Y1S/U1,410
Y02 NEW,Y02/Y02T/Y02NEW/Y02A,485
Y71(GLASS),Y71,450
V17,V17/IQ003 5G INCELL FULL GLASS WITH RING ,750
Y53,Y53/Y53L OLD IPS ,395
Y51(2020),Y51-2020/Y51NEW/Y51A/Y52 5G/Y53S/Y31/Y55 5G/Y56 5G/Y55S/Y77 5G/T2X 5G/Y75 5G/Y33S/Y76 5G,580
Z1 PRO,Z1PRO/Z5X,525
Y56,Y75 5G/Y55S/Y77 5G/Y72T/Y56 5G/T2X-5G/Y56NEW/T1-5G/IQOOZ6 5G/Z6 LITE 5G(high refresh rate）07version,585
V20,V20/S6/G1/S7E/Y73S/Y73/Y75 4G/V21E 4G INCELL FULL GLASS WITH RING ,525
Y30,Y30/Y30i ,525
V9,Y85/V9/V9youth/Z1i/Z1/Z3x,520
Y91 With frame,Y91/Y93/Y95/Y91i/Y91c/Y93s/Y90/Y1S/U1,490
V11 PRO,V11PRO/X23 INCELL FULL GLASS WITH RING ,575
Y79,Y79/V7+,460
ONE+7,ONEPLUS7,620
ONE+7T,ONEPLUS7T,860
ONE+3 with frame,ONEPLUS3T,880
1+5 with frame,ONEPLUS5,840
ONE+8,ONEPLUS8,1260
1+NORD,ONEPLUSNORD,745
MOTO E7 POWER,E7/E7Power,540
YUVA-2 PRO,LZX408,580
VISION-2,VISION-2,525
HONOR-9 LITE,HONOR9 LITE,490
ITEL A25,A25,430
A49/KG6K,A49/KG6K/A58PRO/SPARK8/SMART6PLUS/S17/A58/A661W/S661W/A661L,485
VISION-1,VISION1,485
A23 PRO,A23PRO,395
ITEL A48,ITEL A48,460
MICROMAX IN 2B,MICROMAX IN 2B,550
MOTO ONE FUSION+,ONE FUSION PLUS/ONE FUSION+,620
MOTO ONE POWER,ONE POWER,620
MOTO G60,G60/G60S/G51 5G/G51 4G/G40 Fusion/,715
MAXX PRO M2,MAXX PRO M2,720
MICROMAX INNOTE-1,MICROMAX IN1/IN NOTE1,885
